prompt,actual_ans,gen_ans,prompt_ppl,target_ppl,gen_ppl,accuracy
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway.
question: Where is Mary?
answer:",office,hallway,3.4814558029174805,3.0731587409973145,1.7130528688430786,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom.
question: Where is Daniel?
answer:",bedroom,bathroom,3.3970651626586914,5.667828559875488,1.32175612449646,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom.
question: Where is Mary?
answer:",bedroom,bedroom,3.347745895385742,1.3972855806350708,1.3972855806350708,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom. Daniel and Mary went to the hallway. John and Sandra travelled to the garden.
question: Where is Daniel?
answer:",hallway,garden,3.2911040782928467,17.738529205322266,1.6956106424331665,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom. Daniel and Mary went to the hallway. John and Sandra travelled to the garden. Sandra and John moved to the office. John and Mary went back to the bedroom.
question: Where is John?
answer:",bedroom,bedroom,3.2198264598846436,2.008636951446533,2.008636951446533,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway.
question: Where is Daniel?
answer:",hallway,hallway,3.4439406394958496,1.1424560546875,1.1424560546875,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office.
question: Where is Daniel?
answer:",bathroom,bathroom,3.3684051036834717,1.5874686241149902,1.5874686241149902,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden.
question: Where is Mary?
answer:",garden,garden,3.3204972743988037,1.0217927694320679,1.0217927694320679,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden. Daniel and Sandra went back to the bedroom. Daniel and John went back to the kitchen.
question: Where is Mary?
answer:",garden,garden,3.2043161392211914,1.5634427070617676,1.5634427070617676,0.77
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden. Daniel and Sandra went back to the bedroom. Daniel and John went back to the kitchen. Sandra and John journeyed to the hallway. John and Sandra journeyed to the bathroom.
question: Where is John?
answer:",bathroom,bathroom,3.1671154499053955,1.1995222568511963,1.1995222568511963,0.77
