prompt,actual_ans,gen_ans,prompt_ppl,accuracy
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway.
question: Where is Mary?
answer:",office,office,3.0679268836975098,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom.
question: Where is Daniel?
answer:",bedroom,bedroom,3.1901843547821045,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom.
question: Where is Mary?
answer:",bedroom,bedroom,3.582404613494873,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom. Daniel and Mary went to the hallway. John and Sandra travelled to the garden.
question: Where is Daniel?
answer:",hallway,hallway,3.2538084983825684,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Mary and John journeyed to the office. John and Sandra went to the hallway. Daniel and Mary journeyed to the bedroom. Mary and Sandra moved to the bathroom. Mary and John travelled to the office. Sandra and Mary went back to the bedroom. Daniel and Mary went to the hallway. John and Sandra travelled to the garden. Sandra and John moved to the office. John and Mary went back to the bedroom.
question: Where is John?
answer:",bedroom,bedroom,3.4520046710968018,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway.
question: Where is Daniel?
answer:",hallway,hallway,2.966594696044922,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office.
question: Where is Daniel?
answer:",bathroom,bathroom,3.165679693222046,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden.
question: Where is Mary?
answer:",garden,garden,3.2932183742523193,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden. Daniel and Sandra went back to the bedroom. Daniel and John went back to the kitchen.
question: Where is Mary?
answer:",garden,garden,3.277665376663208,0.95
"context: Mary and Daniel travelled to the bathroom. John and Daniel travelled to the office.
question: Where is Daniel?
answer: office
###
context: Sandra and Mary went back to the office. Daniel and Sandra went to the bedroom.
question: Where is Sandra?
answer: bedroom
###
context: Daniel and John moved to the hallway. Sandra and Daniel journeyed to the bathroom.
question: Where is Sandra?
answer: bathroom
###
context: Sandra and Mary went to the kitchen. Mary and John moved to the hallway.
question: Where is John?
answer: hallway
###
context: John and Mary moved to the bedroom. Daniel and John went to the kitchen. Daniel and Sandra went to the hallway. John and Daniel journeyed to the garden.
question: Where is Daniel?
answer: garden
###
context: Daniel and Sandra went back to the kitchen. Daniel and John went back to the hallway. Daniel and John moved to the bathroom. Sandra and Mary travelled to the office. John and Mary travelled to the hallway. Sandra and Mary journeyed to the garden. Daniel and Sandra went back to the bedroom. Daniel and John went back to the kitchen. Sandra and John journeyed to the hallway. John and Sandra journeyed to the bathroom.
question: Where is John?
answer:",bathroom,bathroom,3.3869988918304443,0.95
